SalesMonth,Retailer,Product,SalesValueUSD,UnitsSold
"01-jun-2020","Naughty but Nice","Gumbles 1.76oz",2832.20,2380
"01-jun-2020","Naughty but Nice","Zigzags 14.10oz",1336.94,206
"01-jun-2020","Naughty but Nice","Caramax 6.59oz",1640.90,610
"01-jun-2020","Naughty but Nice","Chocolatey Nougat 3.52oz",1297.10,1090
"01-jun-2020","Naughty but Nice","Googlies 4.83oz",1802.13,1397
"01-jun-2020","Naughty but Nice","Unicorn 16.92oz",1468.02,258
"01-jun-2020","Naughty but Nice","Elysian Fudge 7.05oz",5803.55,745
"01-jun-2020","Naughty but Nice","Unicorn 6.77oz",1276.87,493
"01-jun-2020","Naughty but Nice","Daydream 7.05oz",1853.41,689
"01-jun-2020","Naughty but Nice","Chocolatey Nougat 8.81oz",5472.67,2113
"01-jun-2020","Naughty but Nice","Rokkolate 10.57oz",3439.08,932
"01-jun-2020","Naughty but Nice","Whippersnappers 1.76oz",951.47,563
"01-jun-2020","Naughty but Nice","Banonza 2.64oz",5312.80,2320
"01-jun-2020","Naughty but Nice","Sweetsverse 2.82oz",1289.52,648
"01-jun-2020","Naughty but Nice","Yumyums 2.29oz",4362.12,2308
"01-jun-2020","Naughty but Nice","Magma 2.47oz",1775.08,892
"01-jun-2020","Naughty but Nice","Sailor Joe 42.29oz",9251.87,523
"01-jun-2020","Naughty but Nice","Chocolatey Nougat 14.10oz",4011.03,1087
"01-jun-2020","Naughty but Nice","Googlies 1.94oz",349.83,507
"01-jun-2020","Naughty but Nice","Sportsman 7.05oz",3264.30,1170
"01-jun-2020","Naughty but Nice","Banonza 6.59oz",9718.91,2029
"01-jun-2020","Naughty but Nice","Xero 4.23oz",3283.18,2362
"01-jun-2020","Naughty but Nice","Sweetlings 11.28oz",5411.55,645
"01-jun-2020","Naughty but Nice","Bitterbutter 3.88oz",3229.77,1623
"01-jun-2020","Naughty but Nice","Cheeky Caramels 12.69oz",20876.91,2459
"01-jun-2020","Naughty but Nice","Petals 3.07oz",4763.99,1771
"01-jun-2020","Naughty but Nice","Boho 7.05oz",6710.86,974
"01-jun-2020","Naughty but Nice","Yumyums 9.16oz",5307.14,886
"01-jun-2020","Naughty but Nice","The Original 10.57oz",2933.03,817
"01-jun-2020","Naughty but Nice","Meltos 2.82oz",6878.33,2557
"01-jun-2020","Naughty but Nice","Pippops 9.16oz",4881.87,1323
"01-jun-2020","Naughty but Nice","Meltos 28.19oz",167.12,8
"01-jun-2020","Naughty but Nice","Forage Bar 2.29oz",2387.10,2190
"01-jun-2020","Naughty but Nice","The Original 4.23oz",666.21,419
"01-jun-2020","Naughty but Nice","Cheeky Caramels 3.17oz",1433.77,533
"01-jun-2020","Naughty but Nice","Cerealice 5.64oz",11992.43,2267
"01-jun-2020","Naughty but Nice","Huckles 2.11oz",1284.02,1178
"01-jun-2020","Naughty but Nice","Buzzers 11.98oz",7.38,2
"01-jun-2020","Naughty but Nice","Constellation 16.00oz",6112.82,658
"01-jun-2020","Naughty but Nice","Bravo 7.05oz",2933.49,1281
"01-jun-2020","Naughty but Nice","Salt Chocolate 10.57oz",3267.96,964
"01-jun-2020","Naughty but Nice","Buzzers 7.47oz",689.73,277
"01-jun-2020","Naughty but Nice","Flair 7.05oz",14846.04,1956
"01-jun-2020","Naughty but Nice","Rumbuns 2.47oz",513.85,215
"01-jun-2020","Naughty but Nice","Xero 10.57oz",3830.67,1373
"01-jun-2020","Naughty but Nice","Minotaur 3.35oz",1451.71,859
"01-jun-2020","Naughty but Nice","Meltos 7.05oz",6548.49,1131
"01-jun-2020","Naughty but Nice","Zoots 7.93oz",3847.14,1206
"01-jun-2020","Naughty but Nice","Daydream 2.82oz",2109.15,1635
"01-jun-2020","Naughty but Nice","Paramels 33.48oz",37331.87,1373
"01-jun-2020","Naughty but Nice","Magma 6.17oz",10669.23,2487
"01-jun-2020","Naughty but Nice","Fairy Sweets 1.59oz",151.80,220
"01-jun-2020""Naughty but Nice","Obelisk 35.24oz",37477.86,2534
"01-jun-2020""Naughty but Nice","Boho 2.82oz",4191.66,1314
"01-jun-2020""Naughty but Nice","Minotaur 13.39oz",3423.07,553
"01-jun-2020""Naughty but Nice","Bitterbutter 15.51oz",11805.31,1819
"01-jun-2020""Naughty but Nice","Sweetsverse 7.05oz",2691.07,613
"01-jun-2020""Naughty but Nice","Flair 17.62oz",19476.27,1133
"01-jun-2020""Naughty but Nice","Schnoogles 14.10oz",2709.98,182
"01-jun-2020""Naughty but Nice","Sailor Joe 16.92oz",15918.30,2070
"01-jun-2020""Naughty but Nice","Zoots 12.69oz",2928.13,667
"01-jun-2020""Naughty but Nice","Cheeky Caramels 7.93oz",3248.19,561
"01-jun-2020""Naughty but Nice","Schnoogles 3.52oz",3094.34,646
"01-jun-2020""Naughty but Nice","Huckles 5.29oz",1015.75,425
"01-jun-2020""Naughty but Nice","Caramax 2.64oz",1782.78,1382
"01-jun-2020""Naughty but Nice","Obelisk 22.03oz",22102.92,2148
"01-jun-2020""Naughty but Nice","Banananice 4.41oz",2309.11,799
"01-jun-2020""Naughty but Nice","Sweetsverse 28.19oz",13731.90,910
"01-jun-2020","Naughty but Nice","Gnaw 4.23oz",3175.98,2462
"01-jun-2020","Naughty but Nice","Yumyums 5.71oz",620.12,148
"01-jun-2020","Naughty but Nice","Zigzags 1.41oz",1295.91,1309
"01-jun-2020","Naughty but Nice","Unicorn 4.23oz",3646.23,2037
"01-jun-2020","Naughty but Nice","Cerealice 3.52oz",1125.45,305
"01-jun-2020","Naughty but Nice","Sweetlings 2.82oz",3346.56,1344
"01-jun-2020","Naughty but Nice","Obelisk 8.81oz",11341.89,2471
"01-jun-2020","Naughty but Nice","Elysian Fudge 4.41oz",14371.89,2571
"01-jun-2020","Naughty but Nice","Salt Chocolate 26.43oz",4703.72,628
"01-jun-2020","Naughty but Nice","Caramax 10.57oz",869.82,218
"01-jun-2020","Naughty but Nice","Schnoogles 8.81oz",1533.21,149
"01-jun-2020","Naughty but Nice","Dr Sweets 9.52oz",1927.83,1077
"01-jun-2020","Naughty but Nice","Rokkolate 4.23oz",351.52,208
"01-jun-2020","Naughty but Nice","Carousel 16.00oz",14291.55,1745
"01-jun-2020","Naughty but Nice","Whippersnappers 4.41oz",8523.90,2310
"01-jun-2020","Naughty but Nice","Paramels 3.35oz",9157.06,2354
"01-jun-2020","Naughty but Nice","Sailor Joe 10.57oz",5454.68,1012
"01-jun-2020","Naughty but Nice","Twisters 16.92oz",10485.40,2060
"01-jun-2020","Naughty but Nice","Elysian Fudge 1.76oz",2265.90,910
"01-jun-2020","Naughty but Nice","Zigzags 5.64oz",5788.67,2003
"01-jun-2020","Naughty but Nice","Hoots 2.47oz",2112.50,1250
"01-jun-2020","Naughty but Nice","Pippops 22.91oz",954.62,118
"01-jun-2020","Naughty but Nice","Pippops 2.29oz",1236.06,1134
"01-jun-2020","Naughty but Nice","Paramels 8.35oz",15487.77,1803
"01-jun-2020","Naughty but Nice","Bitterbutter 9.69oz",886.78,202
"01-jun-2020","Naughty but Nice","Creamies 2.64oz",3358.53,1777
"01-jun-2020","Naughty but Nice","Paramels 13.39oz",15487.50,1250
"01-jun-2020","Naughty but Nice","Petals 1.23oz",787.78,662
"01-jun-2020","Naughty but Nice","Zoots 3.17oz",3131.67,2253
"01-jun-2020","Naughty but Nice","Dynasty 16.00oz",19750.26,1734
"01-jun-2020","Naughty but Nice","Gnaw 10.57oz",4376.63,1627
"01-jun-2020","Naughty but Nice","Bravo 1.76oz",373.29,541
"01-jun-2020","Naughty but Nice","Unicorn 1.69oz",1889.47,2123
"01-jun-2020","Naughty but Nice","Flair 28.19oz",31076.10,1290
"01-jun-2020","Naughty but Nice","Googlies 7.75oz",2056.32,1088
"01-jun-2020","Naughty but Nice","Gumbles 4.41oz",2600.36,1004
"01-jun-2020","Naughty but Nice","Googlies 19.38oz",11042.46,2574
"01-jun-2020","Naughty but Nice","Cerealice 14.10oz",9720.36,804
"01-jun-2020","Naughty but Nice","Gnaw 16.92oz",10130.61,2539
"01-jun-2020","Naughty but Nice","Sailor Joe 4.23oz",614.23,257
"01-jun-2020","Naughty but Nice","Creamies 10.57oz",5146.79,781
"01-jun-2020","Naughty but Nice","Banananice 1.76oz",1647.15,1185
"01-jun-2020","Naughty but Nice","Buzzers 3.00oz",2200.31,1849
"01-jun-2020","Naughty but Nice","Boho 28.19oz",55988.94,2446
"01-jun-2020","Naughty but Nice","Sweetlings 7.05oz",12722.84,2236
"01-jun-2020","Naughty but Nice","Zigzags 3.52oz",4694.14,2246
"01-jun-2020","Naughty but Nice","Hoots 6.17oz",708.48,192
